,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,ASSEMBLER INST
OPP,OPP-0x53,,,,,x,,,,,,,,,,,,,,,x,,,80010,43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp -d
OPP,OPP-0x54,,x,,,,,,,,,,,,,,,x,,,,,,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a+1
OPP,OPP-0x55,,,x,,,,,,,,,,,,,,,x,,,,,20004,1D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b+1
OPP,OPP-0x56,,,,x,,,,,,,,,,,,,,,x,,,,40008,30,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c+1
OPP,OPP-0x57,,,,,x,,,,,,,,,,,,,,,x,,,80010,43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d+1
OPP,OPP-0x58,,x,,,,,,,,,,,,,,,x,,,,,,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a-1
OPP,OPP-0x59,,,x,,,,,,,,,,,,,,,x,,,,,20004,1D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b-1
OPP,OPP-0x5A,,,,x,,,,,,,,,,,,,,,x,,,,40008,30,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c-1
OPP,OPP-0x5B,,,,,x,,,,,,,,,,,,,,,x,,,80010,43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d-1
OPP,OPP-0x5C,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a+b
OPP,OPP-0x5D,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a+c
OPP,OPP-0x5E,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a+d
OPP,OPP-0x5F,,,x,,,x,,,,,,,,,,,,x,,,,,20024,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b+a
OPP,OPP-0x60,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b+c
OPP,OPP-0x61,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b+d
OPP,OPP-0x62,,,,x,,x,,,,,,,,,,,,,x,,,,40028,33,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c+a
OPP,OPP-0x63,,,,x,,,x,,,,,,,,,,,,x,,,,40048,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c+b
OPP,OPP-0x64,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c+d
OPP,OPP-0x65,,,,,x,x,,,,,,,,,,,,,,x,,,80030,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d+a
OPP,OPP-0x66,,,,,x,,x,,,,,,,,,,,,,x,,,80050,47,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d+b
OPP,OPP-0x67,,,,,x,,,x,,,,,,,,,,,,x,,,80090,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d+c
OPP,OPP-0x68,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a-b
OPP,OPP-0x69,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a-c
OPP,OPP-0x6A,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a-d
OPP,OPP-0x6B,,,x,,,x,,,,,,,,,,,,x,,,,,20024,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b-a
OPP,OPP-0x6C,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b-c
OPP,OPP-0x6D,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b-d
OPP,OPP-0x6E,,,,x,,x,,,,,,,,,,,,,x,,,,40028,33,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c-a
OPP,OPP-0x6F,,,,x,,,x,,,,,,,,,,,,x,,,,40048,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c-b
OPP,OPP-0x70,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c-d
OPP,OPP-0x71,,,,,x,x,,,,,,,,,,,,,,x,,,80030,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d-a
OPP,OPP-0x72,,,,,x,,x,,,,,,,,,,,,,x,,,80050,47,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d-b
OPP,OPP-0x73,,,,,x,,,x,,,,,,,,,,,,x,,,80090,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d-c
OPP,OPP-0x74,,x,,,,x,,,,,,,,,,,x,,,,,,10022,8,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a*a
OPP,OPP-0x75,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a*b
OPP,OPP-0x76,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a*c
OPP,OPP-0x77,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a*d
OPP,OPP-0x78,,,x,,,x,,,,,,,,,,,,x,,,,,20024,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b*a
OPP,OPP-0x79,,,x,,,,x,,,,,,,,,,,x,,,,,20044,23,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b*b
OPP,OPP-0x7A,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b*c
OPP,OPP-0x7B,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b*d
OPP,OPP-0x7C,,,,x,,x,,,,,,,,,,,,,x,,,,40028,33,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c*a
OPP,OPP-0x7D,,,,x,,,x,,,,,,,,,,,,x,,,,40048,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c*b
OPP,OPP-0x7E,,,,x,,,,x,,,,,,,,,,,x,,,,40088,37,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c*c
OPP,OPP-0x7F,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c*d
OPP,OPP-0x80,,,,,x,x,,,,,,,,,,,,,,x,,,80030,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d*a
OPP,OPP-0x81,,,,,x,,x,,,,,,,,,,,,,x,,,80050,47,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d*b
OPP,OPP-0x82,,,,,x,,,x,,,,,,,,,,,,x,,,80090,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d*c
OPP,OPP-0x83,,,,,x,,,,x,,,,,,,,,,,x,,,80110,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d*d
OPP,OPP-0x84,,x,,,,x,,,,,,,,,,,x,,,,,,10022,8,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a.*a
OPP,OPP-0x85,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a.*b
OPP,OPP-0x86,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a.*c
OPP,OPP-0x87,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a.*d
OPP,OPP-0x88,,,x,,,x,,,,,,,,,,,,x,,,,,20024,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b.*a
OPP,OPP-0x89,,,x,,,,x,,,,,,,,,,,x,,,,,20044,23,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b.*b
OPP,OPP-0x8A,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b.*c
OPP,OPP-0x8B,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b.*d
